6
673
id	astId	startLong	startLat	endLong	endLat
string	int	float	float	float	float
astline_35_3	35	318.95582999999999	5.2477799999999997	317.58542	10.13167
astline_36_0	36	24.428750000000001	-57.236669999999997	28.98958	-51.608890000000002
astline_36_1	36	28.98958	-51.608890000000002	34.127499999999998	-51.512219999999999
astline_36_2	36	34.127499999999998	-51.512219999999999	36.746250000000003	-47.703890000000001
astline_36_3	36	36.746250000000003	-47.703890000000001	39.950000000000003	-42.891669999999998
astline_36_4	36	39.950000000000003	-42.891669999999998	40.166670000000003	-39.855559999999997
astline_36_5	36	40.166670000000003	-39.855559999999997	44.565420000000003	-40.304720000000003
astline_36_6	36	44.565420000000003	-40.304720000000003	49.982080000000003	-43.069719999999997
astline_36_7	36	49.982080000000003	-43.069719999999997	57.147500000000001	-37.622219999999999
astline_36_8	36	57.147500000000001	-37.622219999999999	57.363750000000003	-36.200279999999999
astline_36_9	36	57.363750000000003	-36.200279999999999	64.473749999999995	-33.79833
astline_36_10	36	64.473749999999995	-33.79833	66.009169999999997	-34.016939999999998
astline_36_11	36	66.009169999999997	-34.016939999999998	68.887500000000003	-30.56222
astline_36_12	36	68.887500000000003	-30.56222	56.71208	-23.24972
astline_36_13	36	56.71208	-23.24972	53.44708	-21.63278
astline_36_14	36	53.44708	-21.63278	49.879170000000002	-21.75778
astline_36_15	36	49.879170000000002	-21.75778	45.597920000000002	-23.62444
astline_36_16	36	45.597920000000002	-23.62444	41.275829999999999	-18.572500000000002
astline_36_17	36	41.275829999999999	-18.572500000000002	44.107080000000003	-8.8980599999999992
astline_36_18	36	44.107080000000003	-8.8980599999999992	48.958329999999997	-8.8197200000000002
astline_36_19	36	48.958329999999997	-8.8197200000000002	53.232500000000002	-9.4583300000000001
astline_36_20	36	53.232500000000002	-9.4583300000000001	55.812080000000002	-9.7633299999999998
astline_36_21	36	55.812080000000002	-9.7633299999999998	69.079580000000007	-3.3525
astline_36_22	36	69.079580000000007	-3.3525	71.375420000000005	-3.2547199999999998
astline_36_23	36	71.375420000000005	-3.2547199999999998	73.223749999999995	-5.4527799999999997
astline_36_24	36	73.223749999999995	-5.4527799999999997	76.962500000000006	-5.0863899999999997
astline_36_25	36	76.962500000000006	-5.0863899999999997	77.286670000000001	-8.7541700000000002
astline_36_26	36	77.286670000000001	-8.7541700000000002	69.545000000000002	-14.303890000000001
astline_37_0	37	42.272500000000001	-32.405830000000002	48.017919999999997	-28.986940000000001
astline_38_0	38	99.42792	16.399170000000002	106.02708	20.57028
astline_38_1	38	106.02708	20.57028	110.03082999999999	21.982220000000002
astline_38_2	38	110.03082999999999	21.982220000000002	109.52333	16.540279999999999
astline_38_3	38	109.52333	16.540279999999999	101.32250000000001	12.89556
astline_38_4	38	110.03082999999999	21.982220000000002	113.98042	26.89583
astline_38_5	38	113.98042	26.89583	116.11167	24.398060000000001
astline_38_6	38	113.98042	26.89583	116.32875	28.026109999999999
astline_38_7	38	113.98042	26.89583	111.43167	27.79806
astline_38_8	38	111.43167	27.79806	107.785	30.245280000000001
astline_38_9	38	107.785	30.245280000000001	113.65	31.88833
astline_38_10	38	107.785	30.245280000000001	103.19708	33.961109999999998
astline_38_11	38	107.785	30.245280000000001	100.98291999999999	25.13111
astline_38_12	38	100.98291999999999	25.13111	97.240830000000003	20.212219999999999
astline_38_13	38	100.98291999999999	25.13111	95.74	22.51361
astline_38_14	38	95.74	22.51361	93.719170000000005	22.50667
astline_38_15	38	93.719170000000005	22.50667	91.03	23.26333
astline_39_0	39	346.72	-43.520560000000003	337.3175	-43.495559999999998
astline_39_1	39	337.3175	-43.495559999999998	332.05833000000001	-46.961109999999998
astline_39_2	39	332.05833000000001	-46.961109999999998	340.66708	-46.884720000000002
astline_39_3	39	340.66708	-46.884720000000002	347.59	-45.246670000000002
astline_39_4	39	347.59	-45.246670000000002	346.72	-43.520560000000003
astline_39_5	39	340.66708	-46.884720000000002	345.22	-52.754170000000002
astline_39_6	39	340.66708	-46.884720000000002	342.13875000000002	-51.316940000000002
astline_39_7	39	332.05833000000001	-46.961109999999998	331.52875	-39.543329999999997
astline_39_8	39	331.52875	-39.543329999999997	328.48208	-37.365000000000002
astline_40_0	40	264.86624999999998	46.006390000000003	269.06333000000001	37.25056
astline_40_1	40	269.06333000000001	37.25056	260.91958	37.14667
astline_40_2	40	260.91958	37.14667	259.41791999999998	37.291670000000003
astline_40_3	40	259.41791999999998	37.291670000000003	258.76166999999998	36.809170000000002
astline_40_4	40	258.76166999999998	36.809170000000002	250.72416999999999	38.922220000000003
astline_40_5	40	250.72416999999999	38.922220000000003	248.52583000000001	42.43694
astline_40_6	40	248.52583000000001	42.43694	244.935	46.313330000000001
astline_40_7	40	244.935	46.313330000000001	238.16874999999999	42.45167
astline_40_8	40	250.72416999999999	38.922220000000003	250.32167000000001	31.603059999999999
astline_40_9	40	250.32167000000001	31.603059999999999	247.55500000000001	21.489719999999998
astline_40_10	40	247.55500000000001	21.489719999999998	245.48	19.15306
astline_40_11	40	250.32167000000001	31.603059999999999	255.07249999999999	30.926390000000001
astline_40_12	40	255.07249999999999	30.926390000000001	262.68457999999998	26.11056
astline_40_13	40	262.68457999999998	26.11056	258.75792000000001	24.839169999999999
astline_40_14	40	266.61457999999999	27.720559999999999	269.44125000000003	29.247779999999999
astline_40_15	40	269.44125000000003	29.247779999999999	271.88583	28.762499999999999
astline_40_16	40	269.44125000000003	29.247779999999999	266.61457999999999	27.720559999999999
astline_40_17	40	255.07249999999999	30.926390000000001	258.76166999999998	36.809170000000002
astline_41_0	41	63.500419999999998	-42.294440000000002	40.164999999999999	-54.55
astline_41_1	41	40.164999999999999	-54.55	45.903329999999997	-59.737780000000001
astline_42_0	42	130.80625000000001	3.3986100000000001	129.68916999999999	3.3413900000000001
astline_42_1	42	129.68916999999999	3.3413900000000001	129.41417000000001	5.7036100000000003
astline_42_2	42	129.41417000000001	5.7036100000000003	131.69417000000001	6.4188900000000002
astline_42_3	42	131.69417000000001	6.4188900000000002	132.10833	5.8377800000000004
astline_42_4	42	132.10833	5.8377800000000004	130.80625000000001	3.3986100000000001
astline_42_5	42	132.10833	5.8377800000000004	133.84833	5.9455600000000004
